source_id,source_code,agency_id,name,source_type,landing_page_url,expected_cadence,source_priority,reuse_status,assessment_status,assessment_note,active
"aa098973-0098-52f1-8bdd-db7ef2b16fc5","KNBS-STATISTICS","e21a31f2-53f4-5c77-8a73-8dfab6e062e0","KNBS statistical publications","publication_portal","https://www.knbs.or.ke/","varies","critical","pending_dataset_assessment","in_review","Assess each dataset and release before redistribution.","true"
"eb1e26c3-fb0b-56f4-97bd-fa31204b710a","CBK-STATISTICS","69ed8fa7-b815-5ad2-b146-229ebbbc4e01","CBK statistics","publication_portal","https://www.centralbank.go.ke/statistics/","daily_to_monthly","critical","pending_dataset_assessment","in_review","Confirm automated access and redistribution conditions per table.","true"
"41674c61-8d5e-5122-8e0d-ee116dd9b0c3","IEBC-ELECTORAL","94943f71-e5e7-52b2-aea1-b459044d36e6","IEBC electoral geography and statistics","publication_portal","https://www.iebc.or.ke/","periodic","critical","pending_dataset_assessment","in_review","Legal boundary instruments and machine-readable extracts require separate assessments.","true"
"4cf7d629-21ea-5e09-b2c7-d3a5baae46f0","COB-REPORTS","d9b65748-a090-561a-b248-5b01b633acb4","Budget implementation review reports","report_series","https://cob.go.ke/reports/","quarterly","critical","pending_dataset_assessment","in_review","Human review required for PDF table extraction.","true"
"ba563830-b20c-5511-bc73-e437acafd77b","KAMIS-MARKETS","b9521a79-b67a-5f25-af05-311c52a24f85","Agricultural market information","web_application","https://kamis.kilimo.go.ke/","daily_or_irregular","high","pending_dataset_assessment","not_assessed","Validate public endpoints, identifiers and reuse conditions.","true"
"ee274def-5b1f-5e75-b56a-c1e57d1a2070","CA-SECTOR-STATS","18794c10-a5fa-5a91-aab2-fa67cb16e5c1","Communications sector statistics","report_series","https://www.ca.go.ke/","quarterly","medium","pending_dataset_assessment","not_assessed","Phase 2 registry entry; no release approved.","true"
"c0d98736-dff3-551c-8d64-86ad591fbde6","EPRA-STATS","717dc367-8e4a-5b1c-93a3-a0e1e92fc6da","Energy and petroleum statistics","publication_portal","https://www.epra.go.ke/","varies","medium","pending_dataset_assessment","not_assessed","Phase 2 registry entry; no release approved.","true"
"ed4481d3-b752-5bdf-8609-d22b79f867d3","TREASURY-FISCAL","fc5a62a5-a70b-5c23-8b2a-4fe3a16c30e9","National fiscal publications","publication_portal","https://www.treasury.go.ke/","varies","high","pending_dataset_assessment","not_assessed","Definitions must be reconciled with KNBS, CBK and Controller of Budget.","true"
"9bc61625-170e-54e8-90c7-922455df162c","MOH-HEALTH","b404bc34-5af5-52d4-b91b-38b215d07888","Public health statistics","publication_portal","https://www.health.go.ke/","varies","medium","pending_privacy_and_dataset_assessment","not_assessed","Granular data requires disclosure and access review.","true"
"71fe9667-1348-56df-8582-2ce4831b53d2","MOE-EDUCATION","9c58b8d7-da00-5780-8f14-dc89e16f8187","Public education statistics","publication_portal","https://www.education.go.ke/","varies","medium","pending_privacy_and_dataset_assessment","not_assessed","Granular machine-readable availability must be validated.","true"
"d9b04ef7-6746-5958-ab3e-e1603af78b7d","KENYA-LAW-LN14","e01b075d-0e71-5a3c-8464-56cd2ee7a8fd","Legal Notice 14 of 2012","legal_instrument","https://new.kenyalaw.org/akn/ke/act/ln/2012/14/eng@2022-12-31","versioned_legal_instrument","critical","public_legal_reference","approved_with_conditions","May be cited as controlling legal reference; derived transcription remains provisional pending record comparison.","true"
"4923a9c3-8ae3-5f3a-b40a-900e4f8a7a85","COMMUNITY-GEOGRAPHY","b4c3f27d-6db6-5d28-9d4d-0d4bfcb0f277","Open geography transcriptions and extracts","github_repositories","https://github.com/","irregular","cross_check","mixed_recorded_per_release","evaluation_only","Never presented as official; used for transcription and discrepancy checks.","true"
"37a22f81-be94-544b-9794-2518c53b12ed","KDA-DERIVED","9b148b36-80bd-5bef-89ed-4d9fd37ba1c2","Atlas-computed derivations","internal_derivation","https://github.com/dansamuka/kenya-data-atlas/blob/main/docs/methodology/indicators.md","on boundary or methodology change","low","atlas_derivation","approved","Self-governed: permitted only where the statistical-publication-policy's basis 5 applies, the transformation is fully documented in docs/methodology/indicators.md, and the input data's own provenance is separately disclosed. Reviewed 2026-08-26.","true"
